usia,berat,tinggi,leher,dada,perut,pinggul,paha,lutut,pk,bisep,lb,pt,lemak
76,259,29,42,88,93,138,49,40,28,35,24,19,26
69,283,64,50,108,110,108,78,39,22,25,24,16,40
23,278,39,33,121,131,138,84,37,29,33,26,18,22
42,295,60,36,89,99,98,70,43,31,44,23,20,23
60,259,71,33,97,81,109,49,36,19,29,30,19,33
79,252,53,42,123,73,127,81,45,26,30,33,15,0
47,179,34,46,102,71,111,74,39,29,30,23,20,17
71,338,34,49,90,103,144,55,44,21,39,28,15,23
56,144,43,32,104,95,94,61,34,29,37,27,17,6
61,259,61,46,118,117,97,81,38,25,34,33,17,11
43,319,74,40,126,146,124,86,36,23,41,26,15,4
78,180,35,39,98,72,109,55,34,29,26,29,15,10
39,130,54,42,118,74,105,70,36,31,39,29,19,4
80,150,37,32,134,143,132,55,36,23,31,23,19,30
80,182,53,42,121,93,139,67,34,29,35,31,19,46
50,174,68,46,92,109,113,71,36,31,37,31,19,3
33,268,45,44,106,120,142,75,33,21,30,28,19,7
34,166,75,42,127,114,112,51,37,29,33,26,20,7
32,183,72,41,83,135,119,83,40,19,41,23,19,10
63,356,52,39,119,107,132,49,41,30,34,30,19,2
79,190,42,38,81,97,132,67,47,29,42,33,17,46
72,179,67,37,93,138,117,83,40,21,26,33,17,42
73,334,40,31,97,115,118,49,35,22,34,27,15,27
53,291,29,34,113,98,110,53,45,28,24,28,18,21
60,160,58,48,118,84,144,53,42,27,38,32,15,46
56,269,45,31,111,114,128,76,38,27,31,29,19,29
72,147,39,38,126,71,114,49,48,19,41,29,17,13
56,195,33,44,83,129,102,68,40,31,33,23,18,3
37,293,42,32,90,140,99,62,41,21,39,29,18,8
73,178,50,37,129,71,101,69,46,23,30,29,19,6
27,249,68,36,130,87,145,57,48,24,29,26,15,8
59,139,68,44,120,99,124,53,42,24,29,31,19,31
56,196,31,38,119,123,136,70,48,19,38,21,19,10
60,312,36,47,135,73,122,55,43,29,39,23,19,11
40,169,52,47,111,145,141,60,37,30,27,26,17,13
61,279,66,44,118,108,101,66,37,30,31,24,16,20
60,195,56,42,115,97,102,62,47,31,31,25,15,36
69,299,48,49,106,127,121,58,48,19,34,33,19,2
44,123,42,38,95,74,86,85,38,19,40,29,20,42
41,235,56,50,131,121,111,66,46,23,32,26,15,33
50,336,64,45,97,127,133,73,35,21,24,27,19,35
56,214,33,36,99,69,92,66,36,24,25,26,15,46
56,296,50,37,109,127,145,66,40,31,43,27,18,8
29,144,38,44,106,88,91,48,48,26,31,29,16,1
44,174,31,37,102,88,110,56,42,21,29,28,18,6
68,238,56,31,79,81,133,55,47,21,44,24,17,18
52,220,56,44,124,103,85,57,44,23,40,31,15,38
55,277,60,50,94,122,90,73,37,23,43,31,15,46
50,340,63,44,131,98,107,67,38,28,44,22,19,2
47,309,40,45,125,94,136,62,44,21,32,22,20,23
58,160,67,40,91,143,136,54,47,31,42,27,17,19
62,130,59,48,94,71,138,50,48,26,35,25,15,19
80,230,39,41,117,104,129,62,36,24,35,30,19,38
69,177,61,39,106,110,120,68,42,26,28,24,17,14
32,158,40,38,111,71,103,69,48,28,39,25,20,28
37,251,67,36,104,134,121,77,43,28,25,26,19,33
74,234,35,35,88,126,112,82,45,23,24,26,18,10
38,282,53,47,129,94,118,67,35,27,33,30,17,35
40,156,46,32,106,125,135,79,40,23,28,21,20,4
34,171,53,47,116,126,91,55,48,32,32,27,17,16
74,122,39,38,86,137,101,69,36,20,43,28,16,32
45,168,36,43,100,146,132,58,42,32,43,22,17,30
44,145,32,34,96,123,103,68,43,21,28,24,19,40
27,178,52,44,106,73,89,57,48,27,40,29,19,27
70,318,56,41,92,102,133,63,36,32,26,23,17,29
44,174,33,46,95,138,107,74,45,19,44,28,15,44
40,297,55,42,131,107,125,59,44,19,29,22,18,9
50,221,34,43,122,137,131,84,37,27,41,30,18,42
46,178,49,44,134,131,118,66,47,21,28,29,15,26
63,323,47,34,122,76,92,72,43,27,35,26,17,36
75,362,51,33,79,99,118,54,40,22,32,28,18,28
34,302,73,38,87,96,131,59,45,28,28,22,16,0
58,232,56,50,92,125,141,80,33,32,30,30,20,0
23,329,44,50,106,109,127,80,41,31,26,24,19,12
59,129,56,46,105,126,132,66,45,27,37,29,15,23
79,185,40,42,127,109,122,65,38,21,33,31,19,2
29,196,55,39,102,130,121,68,38,20,38,26,17,25
23,336,72,44,123,92,98,64,39,20,36,30,16,11
37,310,68,35,81,126,89,72,33,29,30,23,20,14
60,166,59,38,127,117,118,58,38,25,26,27,17,10
22,336,44,49,111,72,140,64,41,26,27,30,18,46
30,175,32,46,79,129,88,55,33,26,28,29,20,18
69,126,54,42,130,110,141,57,45,29,33,30,19,20
63,251,68,49,94,76,141,86,38,24,34,29,17,11
43,224,51,42,134,107,125,69,43,22,32,32,18,22
37,261,53,43,88,110,131,65,43,26,25,30,18,19
53,262,29,33,117,129,93,54,34,27,38,24,18,9
55,186,47,46,102,89,89,69,33,28,27,31,20,32
70,199,43,43,91,130,99,56,33,27,34,31,20,10
71,337,70,33,103,127,126,75,48,25,40,22,16,16
61,214,63,36,106,87,145,73,37,31,42,27,19,7
31,270,70,37,100,76,116,67,45,24,25,29,19,30
58,271,64,31,87,70,143,50,40,31,44,33,20,43
64,240,31,49,82,80,89,82,41,32,32,33,19,2
71,145,33,49,81,128,145,55,37,26,44,28,15,16
29,342,54,31,122,72,116,74,43,22,37,29,15,43
63,209,71,37,94,104,93,85,37,20,44,23,18,14
41,352,37,42,119,105,94,79,38,26,24,22,19,43
49,170,32,41,103,104,105,58,35,24,34,32,15,43
76,196,55,36,100,89,86,85,35,25,29,21,17,9
48,220,46,41,108,145,98,79,35,22,40,26,18,32
70,333,39,34,83,105,135,72,48,27,37,28,20,38
29,333,61,44,132,136,128,83,38,22,38,32,16,34
64,284,40,33,79,80,132,78,47,27,28,26,20,25
24,268,66,43,103,101,88,81,39,26,26,25,17,7
72,125,33,38,94,145,87,82,45,22,44,33,15,18
47,142,45,50,132,99,129,74,44,24,29,33,20,11
57,308,46,41,121,100,85,85,37,22,38,32,17,34
54,171,36,43,101,78,102,57,48,32,38,24,16,24
41,167,30,49,133,73,113,64,33,22,32,26,15,46
74,130,53,48,103,90,140,73,38,32,43,26,16,28
51,210,44,40,107,73,90,69,35,19,24,29,19,37
30,311,71,49,121,144,112,52,45,32,31,31,15,27
65,152,60,39,79,80,89,65,46,23,43,29,20,23
62,158,39,39,85,102,116,75,40,19,27,28,19,5
74,147,45,48,100,140,107,72,37,22,28,33,17,27
38,202,53,33,86,82,96,73,39,31,32,22,20,42
53,319,63,48,134,137,112,49,36,29,30,23,16,17
61,345,73,42,102,127,120,58,40,25,33,26,16,5
73,206,47,44,85,79,92,56,44,21,32,27,16,6
64,232,51,45,93,131,132,61,36,32,26,30,18,17
27,241,52,43,117,80,139,64,48,25,36,28,16,7
69,188,69,35,114,102,107,60,36,21,39,25,19,4
79,178,39,49,82,105,134,60,36,32,26,30,17,9
38,259,74,34,90,71,132,58,34,19,33,27,20,22
62,299,34,45,105,123,131,73,45,28,41,26,15,16
48,158,62,40,82,133,127,78,44,30,32,32,18,24
28,328,52,40,92,114,88,63,38,30,43,22,18,6
79,160,65,37,86,137,100,61,44,25,27,26,18,46
43,195,31,41,115,125,139,80,40,19,36,24,16,37
77,308,75,40,111,76,117,60,35,24,41,27,19,40
40,194,54,49,99,101,123,66,34,26,30,28,18,35
52,265,45,39,102,136,102,64,35,25,41,21,17,40
58,128,45,42,90,136,143,81,48,19,30,21,19,14
39,337,61,31,122,80,102,57,36,23,42,27,17,14
46,167,50,49,120,75,130,60,42,26,24,28,20,28
48,318,41,35,117,70,131,47,35,27,31,29,19,21
46,251,73,50,80,147,101,52,46,32,25,28,19,27
61,188,35,49,128,114,101,57,41,24,25,23,18,23
54,186,69,34,134,89,136,72,47,22,24,33,17,39
45,330,41,47,123,121,87,50,33,23,41,22,16,32
67,214,39,37,107,89,103,74,36,28,41,30,18,10
74,349,61,48,88,121,118,67,43,28,40,25,19,44
43,235,49,47,100,123,131,57,47,31,39,24,15,13
23,194,69,46,100,143,107,54,47,30,43,33,18,43
61,251,61,38,122,110,144,75,39,26,35,26,19,8
41,191,47,50,92,102,145,67,41,32,32,32,16,19
27,222,34,49,94,71,127,57,39,31,42,31,18,2
66,268,67,34,116,107,90,64,36,26,27,21,19,18
45,362,67,36,106,84,134,57,33,29,43,28,20,15
38,154,68,44,92,133,88,82,42,25,44,23,19,7
69,251,74,39,110,109,123,57,40,29,43,28,20,7
31,232,64,33,94,111,107,50,40,30,40,26,15,24
45,268,33,49,101,113,122,51,43,23,29,25,16,34
76,220,59,34,88,129,116,61,46,27,43,26,20,11
62,178,74,35,120,132,100,58,46,21,34,32,20,34
62,247,53,50,106,89,141,54,38,20,35,32,18,30
55,166,76,37,86,76,146,70,42,26,43,26,20,10
80,260,43,42,126,94,110,47,42,25,29,22,15,13
44,244,37,32,121,107,104,72,33,20,37,30,17,38
43,264,72,40,133,107,86,81,39,27,26,24,20,40
43,293,52,44,100,77,123,60,46,28,37,29,15,43
24,345,48,32,96,115,110,77,36,23,25,28,18,38
71,226,60,46,112,73,94,57,42,25,35,33,16,15
39,345,38,33,86,96,91,49,36,24,25,30,18,27
47,290,37,42,122,118,111,77,40,29,39,24,19,40
31,326,58,38,123,80,134,69,42,21,33,25,19,27
79,162,70,41,81,88,113,74,44,30,24,31,16,17
37,328,49,33,106,125,98,83,48,32,44,28,20,28
37,162,74,48,107,133,117,52,39,22,44,29,20,22
70,275,32,37,101,144,115,71,46,22,30,31,15,41
62,307,63,48,120,137,111,85,36,22,33,23,15,1
63,223,31,36,84,126,133,62,45,26,39,21,18,19
32,314,70,49,91,86,125,59,38,23,31,27,18,45
22,327,52,42,82,70,111,59,39,19,41,31,16,19
35,326,65,44,120,128,105,85,41,20,40,21,20,5
22,261,48,37,103,131,115,49,40,19,26,26,20,42
59,201,61,31,121,117,134,63,36,22,32,30,17,23
50,173,44,42,123,117,91,74,37,20,43,21,15,28
69,262,53,41,84,101,93,62,33,21,44,22,17,39
55,237,42,36,103,84,117,61,45,20,33,32,17,5
31,195,76,35,116,132,104,51,44,22,38,30,18,23
79,236,29,39,101,118,138,76,34,28,32,28,18,6
57,242,41,46,112,107,145,47,48,21,33,23,18,43
27,205,71,49,104,106,90,48,34,29,44,33,16,15
43,157,49,35,116,117,129,49,36,21,44,30,20,22
44,300,61,33,127,117,132,71,44,28,43,27,19,28
46,338,49,40,84,129,128,55,38,31,43,25,16,7
23,295,66,49,112,99,116,61,33,24,24,31,18,29
47,257,74,46,101,143,130,55,33,25,32,29,15,7
41,265,45,41,132,127,143,75,33,23,25,24,16,2
73,255,69,44,125,78,113,81,44,30,43,33,15,41
55,241,67,49,114,144,140,51,35,23,24,32,18,23
